Country,Population,Continent,Region
Algeria,46.8,AFRICA,NORTHERN AFRICA
Egypt,105.2,AFRICA,NORTHERN AFRICA
Libya,6.9,AFRICA,NORTHERN AFRICA
Morocco,37.0,AFRICA,NORTHERN AFRICA
Sudan,48.1,AFRICA,NORTHERN AFRICA
Tunisia,11.9,AFRICA,NORTHERN AFRICA
Western Sahara,0.6,AFRICA,NORTHERN AFRICA
Benin,13.7,AFRICA,WESTERN AFRICA
Burkina Faso,22.9,AFRICA,WESTERN AFRICA
Cape Verde,0.6,AFRICA,WESTERN AFRICA
Cote d'Ivoire,30.9,AFRICA,WESTERN AFRICA
Gambia,2.8,AFRICA,WESTERN AFRICA
Ghana,34.1,AFRICA,WESTERN AFRICA
Guinea,14.2,AFRICA,WESTERN AFRICA
GuineaBissau,2.2,AFRICA,WESTERN AFRICA
Liberia,5.4,AFRICA,WESTERN AFRICA
Mali,23.3,AFRICA,WESTERN AFRICA
Mauritania,4.9,AFRICA,WESTERN AFRICA
Niger,27.2,AFRICA,WESTERN AFRICA
Nigeria,223.8,AFRICA,WESTERN AFRICA
Senegal,18.3,AFRICA,WESTERN AFRICA
Sierra Leone,8.9,AFRICA,WESTERN AFRICA
Togo,9.1,AFRICA,WESTERN AFRICA
Burundi,13.2,AFRICA,EASTERN AFRICA
Comoros,0.9,AFRICA,EASTERN AFRICA
Djibouti,1.1,AFRICA,EASTERN AFRICA
Eritrea,3.7,AFRICA,EASTERN AFRICA
Ethiopia,126.5,AFRICA,EASTERN AFRICA
Kenya,55.1,AFRICA,EASTERN AFRICA
Madagascar,30.4,AFRICA,EASTERN AFRICA
Malawi,19.8,AFRICA,EASTERN AFRICA
Mauritius,1.3,AFRICA,EASTERN AFRICA
Mayotte,0.3,AFRICA,EASTERN AFRICA
Mozambique,33.9,AFRICA,EASTERN AFRICA
Reunion,0.9,AFRICA,EASTERN AFRICA
Rwanda,14.1,AFRICA,EASTERN AFRICA
Seychelles,0.1,AFRICA,EASTERN AFRICA
Somalia,18.1,AFRICA,EASTERN AFRICA
South Sudan,11.1,AFRICA,EASTERN AFRICA
Tanzania,67.4,AFRICA,EASTERN AFRICA
Uganda,48.6,AFRICA,EASTERN AFRICA
Zambia,20.2,AFRICA,EASTERN AFRICA
Zimbabwe,16.7,AFRICA,EASTERN AFRICA
Angola,36.7,AFRICA,MIDDLE AFRICA
Cameroon,28.1,AFRICA,MIDDLE AFRICA
Central African Republic,6.2,AFRICA,MIDDLE AFRICA
Chad,18.3,AFRICA,MIDDLE AFRICA
Congo,6.1,AFRICA,MIDDLE AFRICA
Congo DR,102.3,AFRICA,MIDDLE AFRICA
Equatorial Guinea,1.7,AFRICA,MIDDLE AFRICA
Gabon,2.4,AFRICA,MIDDLE AFRICA
Sao Tome and Principe,0.2,AFRICA,MIDDLE AFRICA
Botswana,2.7,AFRICA,SOUTHERN AFRICA
eSwatini,1.2,AFRICA,SOUTHERN AFRICA
Lesotho,2.3,AFRICA,SOUTHERN AFRICA
Namibia,2.6,AFRICA,SOUTHERN AFRICA
South Africa,60.7,AFRICA,SOUTHERN AFRICA
Canada,40.1,NORTHERN AMERICA,NORTHERN AMERICA
United States,335.0,NORTHERN AMERICA,NORTHERN AMERICA
Belize,0.5,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Costa Rica,5.3,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
El Salvador,6.4,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Guatemala,18.1,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
Honduras,9.7,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA
