region,total_articles,high_quality_articles,population,total_articles_per_capita,high_quality_articles_per_capita
CARIBBEAN,218,9,36.6,5.956284153005464,0.2459016393442623
CENTRAL AMERICA,188,10,51.3,3.6647173489278755,0.19493177387914232
CENTRAL ASIA,106,5,80.4,1.3184079601990049,0.062189054726368154
EAST ASIA,184,3,1562.7,0.11774492864913291,0.0019197542714532538
EASTERN AFRICA,664,17,480.90000000000003,1.3807444375129965,0.035350384695362856
EASTERN EUROPE,709,38,266.2,2.6634109691960934,0.14274981217129978
MIDDLE AFRICA,230,8,201.8,1.1397423191278493,0.03964321110009911
NORTHERN AFRICA,302,17,255.9,1.180148495506057,0.06643220007815553
NORTHERN EUROPE,191,9,27.8,6.870503597122302,0.3237410071942446
OCEANIA,72,1,11.1,6.486486486486487,0.0900900900900901
SOUTH AMERICA,569,19,425.0,1.3388235294117647,0.04470588235294118
SOUTH ASIA,670,21,2029.2,0.3301793810368618,0.01034890597279716
SOUTHEAST ASIA,395,25,564.1,0.7002304555929799,0.04431838326537848
SOUTHERN AFRICA,123,8,68.3,1.800878477306003,0.1171303074670571
SOUTHERN EUROPE,797,53,151.5,5.260726072607261,0.34983498349834985
WESTERN AFRICA,521,13,442.3,1.17793352927877,0.029391815509834954
WESTERN ASIA,609,27,295.4,2.0616113744075832,0.09140148950575491
WESTERN EUROPE,497,21,181.3,2.741312741312741,0.11583011583011582
